text,sentiment
"Conclusion of the study:
""In conclusion, both surgical and cotton masks seem to be ineffective in preventing the dissemination of SARS–CoV-2 from the coughs of patients with COVID-19 to the environment and external mask surface.""

Don't let the media control you - think.",neg
"@GovernorVA who is a DOCTOR! Was one of the last states to close down! And now 3 months into #Covid_19 he is forcing “everyone” to wear a mask! Yet, he did not wear one over the weekend or stay 6 feet from others! @vademocrats are ruining it for themselves! #Virginia #nazi",neg
"During a pandemic, the highest preventative purpose of wearing a mask is to discourage you from touching your face.

COVID-19 can be spread from hands to touching face.",neg
This bullying bullshit because someone isn’t wearing a mask is going to get someone killed eventually and it won’t be from Covid-19.  pic.twitter.com/FFMd3Ux9Qh,neg
"100,000 Deaths from COVID-19 and still no face mask on Trump--he thinks he's super human but what happens in Nov. will tell...  https://www.democracynow.org/2020/5/26/headlines/us_nears_100_000_deaths_from_covid_19_as_trump_shuns_face_masks_goes_after_democrats_on_twitter … via @democracynow",pos
"U can feel great & still have covid-19!! That’s the whole point, if u don’t know for sure the only way to protect me from u is that freaking mask & I protect u from me with my mask 😷! U want freedom? Wear a mask, six feet from everyone around & wash your hand! Is it so hard? 🤨  pic.twitter.com/oet2vfFDGZ",pos
"Here are the numbers for Tuesday, May 26th:

881 - COVID-19 (🔼 29)
515 - Recovered (🔼 19)
  49 - Deaths (🔼 4)

Keep practicing physical distancing & wear a mask when you cannot distance yourself from others.

We can all do our part to #crushcoronavirus
@ChiefSolomon https://twitter.com/cityofmethuen/status/1265401264680157189 …",pos
Unbelievable people. The guy is likening mask mandates to tyranny. Coercive government is the only thing that can mitigate negative externalities and prevent conspiracy theorists who don’t know they have COVID-19 from giving it to people who are immune compromised.,neg
Covid-19: Fraas manufactures face mask range from facilities in Germany | Travel Retail Business  http://dutyfree.news/?read= https%3A%2F%2Fwww.trbusiness.com%2Fregional%2Dnews%2Finternational%2Ffraas%2Dmanufactures%2Dface%2Dmask%2Drange%2Dfrom%2Dfacilities%2Din%2Dgermany%2F189375 …,pos
"Germany and Israel both have lower rates of death from COVID-19, than the United States. ""Germans face fines of up to $5,000 as wearing a face mask becomes mandatory""  https://www.cnn.com/2020/04/27/europe/germany-face-mask-mandatory-grm-intl/index.html …. ""Israeli officials make wearing masks in public mandatory""  https://www.jns.org/israeli-officials-make-wearing-masks-in-public-mandatory/ ….",neg
"This woman is useless ! I don't think many people wear masks at home , unless some one has COVID 19 in the family , then they social distance from each other and wear a mask when needed ! Duh .😳  https://twitter.com/thehill/status/1265346977186930691 …",neg
A Covid 19 Mask still does not hide your sins from a Holy God.  pic.twitter.com/sdaISgWwtd,pos
"The discussion was from my thoughts, as started by me and you wandered in here to come and say they don't align with what?
The voices in your head?
Bye, random attention seeker please go and wear your mask- COVID 19 is real.",pos
"Wearing a mask has now been shown to do nothing to prevent you from catching COVID-19. But wear one if you want, if it makes you feel better.",pos
"All you need to know about the Covid 19 mask agenda...

Aside from:

Peeps with lung problems should avoid wearing them;

They don't stop the transmission of the virus;

They can make healthy peeps sick;

(They are one of the marks of the beast.).  pic.twitter.com/yPHZW6qezy",neg
So the lockdown of a country is a conspiracy.Hahaha.Your barking up the wrong tree bud.Back to the original topic of masks. Your free to buy a mask viable enough to protect you from covid 19.,pos
"I'm well over 200 pounds, I eat very little. I live in New Zealand we have almost beaten covid-19 , more people in your country will die from covid-19 , stay safe, stay home, wash your hands, wear a face mask, god bless.  https://twitter.com/LindseyDoesThis/status/1265090823781220353 …",pos
"We’re excited to launch pre-order for our Canadian Made, Non-Medical Face Masks. We’re choosing the opportunity to continue to build community & donate $3 from every mask sold will go to the 
@UnitedWayCgy COVID-19 Relief Fund! #keepyourlaundrylocal
 https://locallaundry.ca/products/pre-order-made-in-canada-local-laundry-non-medical-face-masks?_pos=1&_sid=2a7f1d6e7&_ss=r … pic.twitter.com/jHO0Ilk7oL",pos
"HAPPY MEMORIAL DAY  !
MR. PRESIDENT. 
WHERE'S YOUR MASK ?
OPENLY DISPLAYING THE SOUND LEADERSHIP WE NEED FROM THE PRESIDENT DURING AN ELECTION YEAR  !
BESIDES THERE'S COVID 19 PANDEMIC CRISIS TAKING PLACE.
REQUIRING THIS SAFTY PRECAUTION, NOW.
MR. PRESIDENT,  WHERE'S YOUR MASK ?",neg
"Yes. But the marginal costs of additional Covid 19 cases are much higher than the marginal costs of masks by orders of magnitude. 
What is the harm in wearing masks in enclosed, indoor spaces? How many have died from hyper-mask use?",neg
Meth from #Canada is discovered in COVID-19 mask and sanitizer packages sent to #Australia  https://buff.ly/3d8zCyk  pic.twitter.com/8OGbly2tdA,pos
Let natural selection on IQ do the job to wipe him out since he doesn't want to wear a mask and has more risk to die from COVID-19.,neg
"What’s worse than no mask? 😷Working in healthcare and thinking you’re protected from #COVID__19 by a N95 mask, but it’s a fake 😖
Health Minister orders probe into use of counterfeit masks in hospitals  https://www.smh.com.au/national/health-minister-orders-probe-into-use-of-counterfeit-masks-in-hospitals-20200526-p54wlg.html …",neg
"I don’t think that, I’ve never alluded to thinking that. You should (and should be forced to) wear a mask when you are unable to socially distance, which is the CDC standard. 

You shouldn’t assume what I believe, or assume that I haven’t had family who has suffered from COVID-19",neg
Biden wears mask for other reason than covid_19. That musk keeps his mouth shut from talking total garbage. He cant build one sentence.,neg
"@AlanDersh Please explain how government can force you to wear a mask when the manufacturer itself says their masks will NOT provide ""ANY"" protection from COVID-19 or any other virus??? You need a full blown respirator that covers your mouth, nose & eyes with a proper filter.  pic.twitter.com/jmBj551udm",pos
Gov. DeWine expects ‘more and more people will wear a mask’ to protect others from COVID-19  https://www.cleveland19.com/2020/05/26/gov-dewine-expects-more-more-people-will-wear-mask-protect-others-covid-/ …,pos
"It's in New York:
- 22 thousand dead from Covid-19
- New Yorkers are more direct

It's probably not a law but a store rule to wear a mask. The people would then use group pressure to enforce the rule in that store. I'm OK with that. Because of the 22 thousand.",neg
"Im about to mute these words
Corona
Virus
Coronavirus
COVID
COVID-19
19
Social 
Distancing
Mask
Hope my stress level goes down I feel I’m informed enough and am taking it seriously so be gone virus be gone from my twitter  pic.twitter.com/WwexmLzXbq",neg
"Have you been snorting hydroxychloroquine?  The mask is to keep you from spreading the virus from others, bot the other way around. The incubation period for COVID-19 is up to 14 days between infection and  onset of symptoms, so no, you can't necessarily tell if a person is sick.",neg
"Finally got my legit mask from @lumencouture !!! Thanks @chelscore ! 

#Covid_19 #QuarantineFashion #infosec pic.twitter.com/BtO3b1a7l8",pos
People are dying in rest homes from covid 19 and all that we can get from the Ohio covid 19 team is that “everyone” needs to wear a mask?   Lol.  Talk about an agenda.,pos
"My aunt’s mom, who was like a grandmother to me, passed away today from COVID-19. The virus isn’t gone, the virus didn’t disappear from Miami just cause they opened stuff again. Don’t be an idiot, wear your mask and STAY HOME.",neg
"From @WHO link I provided: “Non-medical or cloth masks could increase potential for COVID-19 to infect a person if the mask is contaminated by dirty hands and touched often, or kept on other parts of the face or head and then placed back over the mouth and nose”",neg
"Our country could cross 100,000 deaths from COVID-19 today.

Can you envision that many people?

Imagine the dreams we have lost!

Now, let’s work together to keep folks alive.

📌stay home
📌wear a mask if you must leave
📌wash your hands
📌choose new voices
📌#StandWithNurses https://twitter.com/DerekCressman/status/1264917547436044288 …",pos
"Please aways wear your nose mask  to protect yourself from COVID-19, but never  mask your career, start now to prepare for post COVID-19 economy. Visit  https://dtconline.com.ng/lms/courses  pic.twitter.com/8agI0DqBSw",pos
People are so ignorant. Maybe I’m wearing a mask because I already had Covid-19 and want to protect you from my residual cough.,pos
"What an idiotic question. More than 100,000 Americans have died from COVID 19 since the beginning of the year... and you're concerned about what a mask looks like?",neg
"I can't wait for pastors preachings as from 1st June:
- No disease God can't heal
- God doesn't social distance 
- God doesn't sanitise 
- God doesn't wear mask 
- God doesn't have 50 children 
- God's child doesn't get COVID-19 
- Sanitize with holly water",pos
"Excerpt from an ICU nurse who works with COVID-19 patients...
 
“A ventilator it is NOT an oxygen mask. Ventilation for a COVID-19 patient is a painful intubation with a plastic tube that goes down your throat and…  https://www.instagram.com/p/CAqiQ7TnAlD/?igshid=nwk4kgdpsdu2 …",neg
Those of us who wear a mask must not be offended by comments from ignorant people who might be asymptomatic or risk getting COVID-19. I have had a comment hurled at me but I don't care. My mother is 90 and gets pneumonia every other year. I will do whatever it takes for her.,neg
Wearing Personal Protective Equipment (PPE) better protects your community from COVID-19. Consider wearing a mask when you leave your home. #TogetherMT #FlattentheCurve #COVID19MT pic.twitter.com/obKzVYsxvn,pos
"Considering 66% of all new covid-19 cases are from people who are staying home on lockdown, wouldn’t it make sense for him to wear a mask with all his maids,butlers, and campaign people around?",pos
"I don't practice Constitutional Law, but I do remember Con Law from law school. Here's what I know:

The government can't force you to wear a mask, but a business can. As long as they don't discriminate, you don't have a right to go to Costco. Don't be a jerk #WearAMask #Covid_19",pos
"Wearing a mask in public is recommended when it’s not possible to physically distance from others, like in stores, shopping areas, and public transportation. Remember, masks alone won’t stop the spread of COVID-19, so don’t forget to wash those hands! #YorkCentre https://twitter.com/GovCanHealth/status/1263221731277365248 …",neg
"Fox News' Brit Hume Face-Mask Shames Joe Biden  https://www.yahoo.com/huffpost/brit-hume-joe-biden-trump-face-mask-shaming-032451198.html … 100,000 Americans have died from COVID-19 because Trump didn't prepare the country in January yet @brithume wants to attack Joe Biden for wearing a mask! Hume has gone classless!",neg
Let me explain the guideline statement from Trump himself. To limit spread of covid 19 social distance and if you can’t wear a mask. Simple advice that a 4th grader can understand including people who like sponge bob.,pos
"NIH study

“In conclusion, both surgical and cotton masks seem to be ineffective in preventing the dissemination of SARS–CoV-2 from the coughs of patients with COVID-19 to the environment and external mask surface.

 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153751/ …",neg
"Sorry, I just realized how that came out.  What I meant was that a knitted or crocheted mask is totally ineffective in protecting you from covid-19 or preventing the spread of the disease.  Sorry about that.",neg
"The “new normal” is one of the many terms we hear repeatedly as the country begins its return to normal activities from the COVID-19 pandemic. Keeping 6 feet apart from other people, wearing a mask and frequent washing of hands are three of those i…  https://www.record-eagle.com/sports/niehoff-despite-loss-of-handshakes-sportsmanship-will-continue/article_23cc693c-9f57-11ea-9ec5-d3381b4d5ecd.html#utm_campaign=blox&utm_source=twitter&utm_medium=social …",pos
"These mask martyrs are out of effing hand!! A twelve year old isn't even safe from their holier than thou mob attacks!! 😷
#maskgate
#COVIDIOTS
#Covid_19
#Covid_1984",neg
"Police IQ's by Nature are below minimum, it does allow them to determine right from wrong, like a toddler. Good Officers are Rarity with possibility chance of Blue Bloods CoverUp. They assholes by nature. It took them til May to wear Mask. #Covid-19 #Covid19 #DeathSentence",pos
"Interesting #COVID__19 research from Japan. See video link below. What the study tells us: Until there’s a vaccine, the safest situation to interact with other people is a breezy outdoor place where everyone is wearing a mask, unless they are not speaking.  https://youtu.be/vBvFkQizTT4 ",pos
"Same here in Austin. People are acting like we’ve beaten Covid-19. The dresses hasn’t vanished. But you wouldn’t know that from Gov. Abbott and Lt. Patrick. Now, few are wearing a mask.",neg
"Cloth masks and N95 masks have different purposes, both are intended to slow the spread of COVID-19. A cloth mask is worn to help protect others in case the wearer has the virus. An N95 mask helps protect the wearer from getting the virus from others.  https://newsnetwork.mayoclinic.org/discussion/covid-19-how-much-protection-do-face-masks-offer/ …",pos
"I sweat through my face mask and scrubs 3 times today and the face shields fog up with the humidity, making you essentially blind during patient care. We are fortunate to have PPE, so no complaints from this one, but the pandemic fatigue is real ...
#COVID19toronto
#Covid_19",neg
"Correct! Airborne transmission of COVID-19 has yet to be reported. Your mask protects others from your respiratory droplets. If I am infected, unmasked and I sneeze on you, your mask does very little. Hence why it’s crucial for everyone to be masked.",neg
Wearing a mask to protect others from the possibility of becoming infecting with covid 19 is NOT a partisan issue. Period!  (FYI -I heard every word of your conversation neighbor out by my mailbox with free homemade masks offered to our community) #wearamask #savealife,pos
@BrianWillTV @11thHour @Eugene_Robinson Suicide bombers are not coming from the Middle East since the Covid-19 invasion of the United States; they're now coming from the Republican Party in the form of non face mask terrorists explosion of the Coronavirus in your city!,neg
"For Black folx, the choice to wear a mask can feel like a choice between protection from COVID-19 and protection from racial profiling:  https://bit.ly/2Xck8m8 

We need to undo systemic racism so no one ever has to choose between their health and their safety.",neg
Where do you get all those wonderful masks? From @LegionMOfficial!!! 100% of net proceeds from mask sales are donated to @TheActorsFund to be distributed to people in need due to COVID-19. Go to:  http://bit.ly/LegionMasks  pic.twitter.com/UIazaXwtRz,pos
"Governor claims ""...the virus spreads less easily when everyone is wearing face coverings."" 

Spreads ""less easily,"" but still spreads?! 

Cloth masks don't block incoming COVID 19 virus from infecting mask wearer, so how would the same mask block virus disseminated from wearer?  https://twitter.com/Daily_Press/status/1265349835420512256 …",pos
"Remember when Covid-19 first became mainstream news and officials clearly said that “wearing a mask WILL NOT prevent you from getting the virus”? 

What happened to that?",pos
"@GinaRaimondo @GovRaimondo @POTUS
There you have it president Trump even the WHO says no proof mask helps keep healthy people from catching covid-19 so Gina you done lying yet? 
 https://m.facebook.com/story.php?story_fbid=10223398013484483&id=1411301011&sfnsn=mo …",neg
"Join us TOMORROW 5/27 at 12 pm! We’re bringing 4 expert panelists to discuss the impact of COVID 19 on African American mental health. Followed by a screening of Lift the Mask, a documentary from @quellfoundation. Register here:  https://bit.ly/2LMgUQW  pic.twitter.com/0QsHKpiR0D",pos
"There is a COVID-19 testing center a mile from my house and there are cars in line wrapped around the building all day, everyday. I promise wearing a mask in public isn’t going to kill you. If it helps us all get through this then 🤷🏽‍♀️",neg
"From June the 1st, all we gonna hear about is holy mask, holy sanitizers and instant healing from Covid-19. Yerrr the gang is back on the grind 😭😭😭😭",pos
"You’re making crap up again Gaslight Trump - to deflect from what a disaster of a job you are doing with COVID-19.

Your delay and minimizing the situation has cost thousands of lives.  Even today you fail to encourage Americans to mask and social distance.  Terrible Leader.  pic.twitter.com/EMBJhc9LWJ",neg
"Reminder: wear a mask to protect everyone else from yourself. You could carry viruses, including COVID-19 and be asymptomatic! i.e. you're infected but don't feel sick.

Protect your family, friends, & the front line workers, vimmunosuppressed, & elderly folks in your community.",pos
I followed a man into the grocery store today.  He threw something away in the trash can outside AND THEN PICKED UP A FACE MASK FROM THE GROUND and threw it away.  THEN he took a cart from OUTSIDE of the store [the clean carts are INSIDE].  So basically a COVID-19 fail/fail.,pos
"COVID19: Most people with COVID-19 may not show any signs but can still spread the disease. Protect yourself: stay 2 metres away from the next person and use a mask
#COVID19
#BSFWHO_campaign
#SNTZ050303  pic.twitter.com/uAMjjXXMaV pic.twitter.com/rFT4aso92s",pos
"Yes Kirstie this I can agree with you on this one, the mask has absolutely no protection for COVID-19 however if there are people coughing doesn’t matter from what, cover your mouth it’s disgusting",neg
"The masks aren't to protect the wearer. They are to protect those near the wearer. If you unknowingly have COVID-19 but are asymptomatic, the mask helps stop you from spreading it.",neg
@SenSanders If u read this tweet please don't wear ur mask if at all possible.Prolonged use of COVID-19 related face mask cause health problems due 2 breathing in 2 much exhaled carbon dioxide. This statement from a doctor who said that big pharma is telling lies about virus!!,neg
Convince me that the warning on mask packaging saying they do not protect people from Covid-19 is wrong and I may consider it.,neg
"#StayHomeStaySafe
Even kids understand the importance of staying at home to stay safe from #Covid_19
@narendramodi @ArvindKejriwal
#StayHomeSaveLives 
Pls use mask to protect urself and others from #COVIDー19 infection. pic.twitter.com/BzgqK8ILiy",pos
"Wearing no mask while 100,000 Americans are dead from COVID-19.

Meanwhile back in reality his supporters went out in mass this weekend without social distancing and no masks because of his example. The sickness and death that will follow are 100% his fault. Faux patriot...",neg
"FACT: The cloth mask will not prevent you from breathing in respiratory droplets that carry a virus, like COVID-19.  #YouNeedToResearchBetter #DontTalkOutYourBumMika",pos
"I won’t wear a mask 2 protect from a few tenths of a % chance of catching #COVID__19

But, i’ll die b4 we vote by mail because there is a .0000001% chance it may lead to ONE wrong vote!

Here's the *real* reason Donald Trump is attacking mail-in ballots
 https://www.cnn.com/2020/05/26/politics/mail-in-ballot-vote-by-mail-trump/index.html …",neg
"I’m confused-the COVID-19 virus is so small no mask can stop it; & DemLibs are moving to other states because they can’t afford what they voted for. But, when they move into a new state, they vote for the same crap they ran from! What do these 2 points have in common?",neg
"Why is it that so many have a difficult time understanding that, A) masks are worn to protect others from your potential of giving them Covid-19 and B) Trump is tested daily and has tested negative each day. Therefore he can not put anyone at risk if he doesn’t wear a mask.",neg
"New #DownSyndrome #COVID__19 advice from @DSRFcanada. Great for parents but also general awareness. For most of us, wearing a #mask is just a simple inconvenience. For those with #disabilities, and especially kids w/ #developmentaldisabilities, its a much bigger deal.  https://twitter.com/hinam83/status/1265325816289783809 … pic.twitter.com/N1sPfOgAN7",neg
"Ironic that the people claiming they don't need to wear a mask to protect them from #Covid_19 are the same people claiming they need a gun to protect their freedom

#VoteBlueToSaveAmerica
 http://nestorgomezstoryteller.com/immigration-stories.html …",pos
"As the boys at Kamiti Youth Correction and Training Centre (YCTC) interact with court officers from outside, they're at greater risk of contracting COVID-19. Today, we donated one mask per boy at YCTC. We also donated one toothpaste tube per boy courtesy of Dental Access Clinic.  pic.twitter.com/J0uCVuEO1X",pos
"""I bet that kid is so well behaved when his mother wishes death on people"".

I'm not wishing death on people when you are the one saying you will walk around out in the open without a mask on. I am telling you that this is how YOU will catch COVID-19 and DIE from it.",neg
"It's directly from the CDC report titled “COVID-19 Pandemic Panning Scenarios.""  Which you didn't read because I honestly don't believe you CAN read.  

You didn't know the diff btw a face mask and a n95.   

You didn't know the diff btw case death rate and mortality rate

#loser",neg
the mask mafia supports this....If that officer had not stepped in then the man might have died from Covid-19,neg
"Wow now the deplorables are using Karen, oblivious that they're actually the definition of Karen.
No one says a dust mask will keep you from getting Covid-19, the mask is to confine your saliva and germs.",pos
"COVID19: Most people with COVID-19 may not show any signs but can still spread the disease. Protect yourself: stay 2 metres away from the next person and use a mask
#COVID19
#BSFWHO_campaign
#SNTZ050303
@ChimaOnuekwe1 @WHO @WHONigeria @NCDCgov @Sadiya_farouq @BashirAhmaad pic.twitter.com/QHzCSVPSUL",pos
"WHO, on Monday said “there is currently no evidence that wearing a mask (whether medical or other types) by healthy persons in the wider community setting, including universal community masking, can prevent them from infection with respiratory viruses, including COVID-19.”",pos
"‘Pro-Life’ Fox News Contributor Brit Hume Mocks Joe Biden For Wearing Life-Saving COVID-19 Mask
 https://newsvideoclip.tv/pro-life-fox-news-contributor-brit-hume-mocks-joe-biden-for-wearing-life-saving-covid-19-mask/ …

God save us from ""pro-lifers"" like @brithume pic.twitter.com/NopgrRSXJO",pos
Why are you putting on the mask? Even the box warning states that it doesn’t protect you from COVID-19! Read the warning for yourself.  pic.twitter.com/DjasNAtWL2,neg
"""In conclusion, both surgical and cotton masks seem to be ineffective in preventing the dissemination of SARS–CoV-2 from the coughs of patients with COVID-19 to the environment and external mask surface.""",neg
"@KatyTurNBC I heard a doctor from one of NY's ""COVID"" Hospitals say last week that almost all infections they've found happened by people touching their face after touching someone or something that had #Covid_19. So its not just wearing a mask that's important. @MSNBC @POTUS",pos
"Of course: why is this even a conversation? 100,000 Americans are now dead from Covid-19: we should be doing all we can to prevent any more of us from dying.

Wearing a mask is such a simple thing.",neg
"COVID19: Most people with COVID-19 may not show any signs but can still spread the disease. Protect yourself: stay 2 metres away from the next person and use a mask
#COVID19
#BSFWHO_campaign
#SNTZ050303  pic.twitter.com/UZRO6xJQHy
@ChimaOnuekwe1
@wujeyuram
@ellawanm pic.twitter.com/1hL5461xEb",pos
And not wearing a mask correlates with transmitting Covid-19... which causes the deaths...  but wouldn't expect logic from someone whose first instinct is to insult...,pos
"#NoMaskisAssault I think that anyone who does NOT wear a mask in a public setting needs to be charged with assault, If that contact results in Covid-19, it should be attempted murder. If a person dies from Covid-19 because of that contact, it should be murder.",neg
WEAR FACE MASK TO PROTECT YOURSELF FROM COVID-19 PANDEMIC. TOGETHER WE WILL FIGHT COVID-19.  pic.twitter.com/31Nwt11M8X,pos
"A month ago, 55,000 people had died from #coronavirus in the U.S. 

Today the grim milestone of 100,000 deaths was reached. Truly heartbreaking. Be safe. Stay home. Wear a mask. #COVID__19  pic.twitter.com/nAEbddu6kb",neg
"Behind the Scenes with LA36!
•
Bring Your Own Mask! We do, so should you 👍There are so many kinds of mask, what kind do you have? 😷 Our LA36 team will be at each update straight from LA County, so Stay tuned!🦠 •
• 
#la36 #lacounty #coronavirus #publichealth #byom #covid_19  pic.twitter.com/fmSwhjY83r",pos
"Well it distracts us from golfing, and not wearing a mask, and Epstein, and firing all the IG’s and pulling out of a nuclear deal with Russia, and Saudi based terrorist attacks, and 100,000 dead Americans and not following through on any of his #Covid_19 policies or promises",neg
"You did not act fast and responsibly enough.  My dad died from the Covid-19 virus.  I am just disgusted by you and your actions regarding during this pandemic. Defer to your scientists.  Be a leader, wear a mask in public and stop with your ignorant comments.",neg
"Outside of Home Depot the other day an old man took off his mask once at his car and lit a smoke. So, he cares enough not to spread his COVID-19 since that is the purpose of the mask but he doesn't care enough not to give everyone cancer from second hand smoke.",neg
Only total #COVIDIOTS #FoxNews And #Trump would Criticize a person for Wearing a mask to protect themselves and others from #COVID__19  https://www.cnn.com/videos/politics/2020/05/26/trump-retweets-brit-hume-biden-mask-newday-vpx.cnn …,pos
"You poor, insecure, frightened ass people that believes wearing a mask keeps you from catching anything.
#COVIDIOTS #COVID__19 #covidmasks",neg
"Because you total f**kwit, one doesn't wear a mask to protect oneself, one wears one to protect others.  They're intended to stop droplets from the wearer (who may be asymptomatic covid-19 infected) flying around. I guess thinking about other people isn't your strong point is it?",pos
"""This mask may prevent me from getting COVID-19, but I still be sniffin' em""...  
- Joe Biden  pic.twitter.com/jmuQsao5rZ",pos
"Is there any chance that virus is first spread from any other source than secretions from a persons mouth or nose? (Fecal/Sperm etc?). If no, then wearing the right mask *properly would be #1 way to stop spread of covid 19, agreed?",neg
